"date","nform","inflow","key","value"
2017-02-03,"nh3n",0.542,"p1",0.271
2017-02-06,"nh3n",0.339,"p1",0.181
2017-02-08,"nh3n",0.379,"p1",0.159
2017-02-10,"nh3n",0.387,"p1",0.2
2017-02-13,"nh3n",0.284,"p1",0.168
2017-02-15,"nh3n",0.469,"p1",0.217
2017-02-21,"nh3n",0.206,"p1",0.121
2017-02-24,"nh3n",0.328,"p1",0.15
2017-02-27,"nh3n",0.274,"p1",0.174
2017-03-01,"nh3n",0.518,"p1",0.233
2017-03-03,"nh3n",0.5,"p1",0.27
2017-03-06,"nh3n",0.406,"p1",0.22
2017-03-10,"nh3n",0.519,"p1",0.231
2017-03-13,"nh3n",0.303,"p1",0.173
2017-03-15,"nh3n",0.604,"p1",0.239
2017-03-17,"nh3n",0.768,"p1",0.23
2017-03-20,"nh3n",0.383,"p1",0.173
2017-03-22,"nh3n",0.396,"p1",0.196
2017-03-24,"nh3n",0.575,"p1",0.34
2017-03-27,"nh3n",0.296,"p1",0.204
2017-03-29,"nh3n",0.548,"p1",0.3
2017-03-31,"nh3n",0.305,"p1",0.194
2017-04-03,"nh3n",0.424,"p1",0.234
2017-04-05,"nh3n",0.62,"p1",0.28
2017-04-07,"nh3n",0.644,"p1",0.126
2017-04-24,"nh3n",0.295,"p1",0.139
2017-04-26,"nh3n",0.386,"p1",0.199
2017-04-28,"nh3n",0.48,"p1",0.166
2017-05-02,"nh3n",0.452,"p1",0.242
2017-05-05,"nh3n",0.435,"p1",0.174
2017-05-08,"nh3n",0.356,"p1",0.183
2017-05-10,"nh3n",0.47,"p1",0.238
2017-05-12,"nh3n",0.484,"p1",0.217
2017-05-15,"nh3n",0.428,"p1",0.259
2017-05-17,"nh3n",0.461,"p1",0.206
2017-05-29,"nh3n",0.389,"p1",0.138
2017-05-31,"nh3n",0.574,"p1",0.207
2017-06-02,"nh3n",0.504,"p1",0.173
2017-06-05,"nh3n",0.379,"p1",0.194
2017-06-07,"nh3n",0.498,"p1",0.18
2017-06-09,"nh3n",0.545,"p1",0.204
2017-06-12,"nh3n",0.536,"p1",0.305
2017-06-14,"nh3n",0.524,"p1",0.257
2017-06-16,"nh3n",0.448,"p1",0.195
2017-06-19,"nh3n",0.37,"p1",0.167
2017-06-21,"nh3n",0.5,"p1",0.168
2017-06-23,"nh3n",0.508,"p1",0.174
2017-06-26,"nh3n",0.379,"p1",0.138
2017-06-28,"nh3n",0.455,"p1",0.164
2017-06-30,"nh3n",0.521,"p1",0.207
2017-07-03,"nh3n",0.432,"p1",0.201
2017-07-05,"nh3n",0.677,"p1",0.3
2017-07-07,"nh3n",0.342,"p1",0.12
2017-07-10,"nh3n",0.297,"p1",0.131
2017-07-12,"nh3n",0.415,"p1",0.139
2017-07-14,"nh3n",0.336,"p1",0.105
2017-07-18,"nh3n",0.569,"p1",0.214
2017-07-21,"nh3n",0.54,"p1",0.209
2017-07-24,"nh3n",0.433,"p1",0.182
2017-07-26,"nh3n",0.624,"p1",0.281
2017-07-28,"nh3n",0.451,"p1",0.199
2017-07-30,"nh3n",0.343,"p1",0.281
2017-08-02,"nh3n",0.503,"p1",0.429
2017-08-07,"nh3n",0.163,"p1",0.234
2017-08-09,"nh3n",0.301,"p1",0.182
2017-08-14,"nh3n",0.214,"p1",0.113
2017-08-16,"nh3n",0.314,"p1",0.228
2017-08-18,"nh3n",0.185,"p1",0.079
2017-08-21,"nh3n",0.403,"p1",0.226
2017-08-23,"nh3n",0.354,"p1",0.155
2017-08-25,"nh3n",0.368,"p1",0.233
2017-08-28,"nh3n",0.539,"p1",0.341
2017-08-30,"nh3n",0.23,"p1",0.102
2017-09-01,"nh3n",0.227,"p1",0.131
2017-09-04,"nh3n",0.378,"p1",0.241
2017-09-06,"nh3n",0.312,"p1",0.186
2016-04-13,"nh3",0.457,"p1",0.074
2016-04-14,"nh3",0.503,"p1",0.246
2016-04-15,"nh3",0.413,"p1",0.114
2016-04-18,"nh3",0.1,"p1",0.093
2016-04-19,"nh3",0.36,"p1",0.101
2016-04-20,"nh3",0.078,"p1",0.059
2016-04-21,"nh3",3.4,"p1",3.12
2016-04-22,"nh3",3.06,"p1",2.76
2016-04-25,"nh3",0.274,"p1",0.112
2016-04-26,"nh3",0.23,"p1",0.063
2016-04-27,"nh3",0.333,"p1",0.075
2016-04-28,"nh3",0.473,"p1",0.133
2016-04-29,"nh3",0.425,"p1",0.093
2016-05-02,"nh3",0.548,"p1",0.142
2016-05-04,"nh3",0.517,"p1",0.058
2016-05-05,"nh3",0.474,"p1",0.046
2016-05-06,"nh3",0.385,"p1",0.07
2016-05-09,"nh3",0.282,"p1",0.071
2016-05-10,"nh3",0.279,"p1",0.053
2016-05-11,"nh3",0.272,"p1",0.054
2016-05-12,"nh3",0.262,"p1",0.064
2016-05-13,"nh3",0.259,"p1",0.042
2016-05-16,"nh3",0.197,"p1",0.059
2016-05-17,"nh3",0.218,"p1",0.033
2016-05-18,"nh3",0.321,"p1",0.042
2016-05-19,"nh3",0.307,"p1",0.033
2016-05-23,"nh3",0.193,"p1",0.114
2016-05-24,"nh3",0.171,"p1",0.095
2016-05-25,"nh3",0.166,"p1",0.086
2016-05-27,"nh3",0.257,"p1",0.146
2016-05-30,"nh3",0.178,"p1",0.067
2016-05-31,"nh3",0.226,"p1",0.092
2016-06-01,"nh3",0.285,"p1",0.126
2016-06-02,"nh3",0.365,"p1",0.103
2016-06-03,"nh3",0.527,"p1",0.111
2016-06-07,"nh3",0.213,"p1",0.092
2016-06-08,"nh3",0.335,"p1",0.088
2016-06-09,"nh3",0.361,"p1",0.073
2016-06-10,"nh3",0.492,"p1",0.106
2016-06-13,"nh3",0.45,"p1",0.077
